"","ligand","receptor","pair","ligand_gene_id","receptor_gene_id"
"1794","Tgfb2","Acvr1","TGFB2_ACVR1","ENSMUSG00000039239","ENSMUSG00000026836"
"1795","Tgfb2","Eng","TGFB2_ENG","ENSMUSG00000039239","ENSMUSG00000026814"
"1796","Tgfb2","Tgfbr1","TGFB2_TGFBR1","ENSMUSG00000039239","ENSMUSG00000007613"
"1797","Tgfb2","Tgfbr2","TGFB2_TGFBR2","ENSMUSG00000039239","ENSMUSG00000032440"
"1798","Tgfb2","Tgfbr3","TGFB2_TGFBR3","ENSMUSG00000039239","ENSMUSG00000029287"
"1799","Tgfb3","Acvrl1","TGFB3_ACVRL1","ENSMUSG00000021253","ENSMUSG00000000530"
"1800","Tgfb3","Eng","TGFB3_ENG","ENSMUSG00000021253","ENSMUSG00000026814"
"1801","Tgfb3","Tgfbr1","TGFB3_TGFBR1","ENSMUSG00000021253","ENSMUSG00000007613"
"1802","Tgfb3","Tgfbr2","TGFB3_TGFBR2","ENSMUSG00000021253","ENSMUSG00000032440"
"1803","Tgfb3","Tgfbr3","TGFB3_TGFBR3","ENSMUSG00000021253","ENSMUSG00000029287"
"1804","Tgm2","Itga4","TGM2_ITGA4","ENSMUSG00000037820","ENSMUSG00000027009"
"1805","Tgm2","Itga9","TGM2_ITGA9","ENSMUSG00000037820","ENSMUSG00000039115"
"1806","Tgm2","Itgb1","TGM2_ITGB1","ENSMUSG00000037820","ENSMUSG00000025809"
"1807","Tgm2","Itgb3","TGM2_ITGB3","ENSMUSG00000037820","ENSMUSG00000020689"
"1808","Tgm2","Sdc4","TGM2_SDC4","ENSMUSG00000037820","ENSMUSG00000017009"
"1809","Tgm2","Tbxa2r","TGM2_TBXA2R","ENSMUSG00000037820","ENSMUSG00000034881"
"1810","Thbs1","Cd36","THBS1_CD36","ENSMUSG00000040152","ENSMUSG00000002944"
"1811","Thbs1","Cd47","THBS1_CD47","ENSMUSG00000040152","ENSMUSG00000055447"
"1812","Thbs1","Itga2b","THBS1_ITGA2B","ENSMUSG00000040152","ENSMUSG00000034664"
"1813","Thbs1","Itga3","THBS1_ITGA3","ENSMUSG00000040152","ENSMUSG00000001507"
"1814","Thbs1","Itga4","THBS1_ITGA4","ENSMUSG00000040152","ENSMUSG00000027009"
"1815","Thbs1","Itga6","THBS1_ITGA6","ENSMUSG00000040152","ENSMUSG00000027111"
"1816","Thbs1","Itgb1","THBS1_ITGB1","ENSMUSG00000040152","ENSMUSG00000025809"
"1817","Thbs1","Itgb3","THBS1_ITGB3","ENSMUSG00000040152","ENSMUSG00000020689"
"1818","Thbs1","Lrp1","THBS1_LRP1","ENSMUSG00000040152","ENSMUSG00000040249"
"1819","Thbs1","Lrp5","THBS1_LRP5","ENSMUSG00000040152","ENSMUSG00000024913"
"1820","Thbs1","Scarb1","THBS1_SCARB1","ENSMUSG00000040152","ENSMUSG00000037936"
"1821","Thbs1","Sdc1","THBS1_SDC1","ENSMUSG00000040152","ENSMUSG00000020592"
"1822","Thbs1","Sdc4","THBS1_SDC4","ENSMUSG00000040152","ENSMUSG00000017009"
"1823","Thbs1","Tnfrsf11b","THBS1_TNFRSF11B","ENSMUSG00000040152","ENSMUSG00000063727"
"1824","Thbs2","Cd47","THBS2_CD47","ENSMUSG00000023885","ENSMUSG00000055447"
"1825","Thbs2","Itga4","THBS2_ITGA4","ENSMUSG00000023885","ENSMUSG00000027009"
"1826","Thbs2","Itga6","THBS2_ITGA6","ENSMUSG00000023885","ENSMUSG00000027111"
"1827","Thbs2","Itgb1","THBS2_ITGB1","ENSMUSG00000023885","ENSMUSG00000025809"
"1828","Thbs2","Notch3","THBS2_NOTCH3","ENSMUSG00000023885","ENSMUSG00000038146"
"1829","Thbs2","Notch4","THBS2_NOTCH4","ENSMUSG00000023885","ENSMUSG00000015468"
"1830","Thpo","Mpl","THPO_MPL","ENSMUSG00000022847","ENSMUSG00000006389"
"1831","Timp1","Cd63","TIMP1_CD63","ENSMUSG00000001131","ENSMUSG00000025351"
"1832","Timp2","Itga3","TIMP2_ITGA3","ENSMUSG00000017466","ENSMUSG00000001507"
"1833","Timp2","Itgb1","TIMP2_ITGB1","ENSMUSG00000017466","ENSMUSG00000025809"
"1834","Timp3","Agtr2","TIMP3_AGTR2","ENSMUSG00000020044","ENSMUSG00000068122"
"1835","Timp3","Kdr","TIMP3_KDR","ENSMUSG00000020044","ENSMUSG00000062960"
"1836","Tnc","Cntn1","TNC_CNTN1","ENSMUSG00000028364","ENSMUSG00000055022"
"1837","Tnc","Egfr","TNC_EGFR","ENSMUSG00000028364","ENSMUSG00000020122"
"1838","Tnc","Itga2","TNC_ITGA2","ENSMUSG00000028364","ENSMUSG00000015533"
"1839","Tnc","Itga5","TNC_ITGA5","ENSMUSG00000028364","ENSMUSG00000000555"
"1840","Tnc","Itga7","TNC_ITGA7","ENSMUSG00000028364","ENSMUSG00000025348"
"1841","Tnc","Itga8","TNC_ITGA8","ENSMUSG00000028364","ENSMUSG00000026768"
"1842","Tnc","Itga9","TNC_ITGA9","ENSMUSG00000028364","ENSMUSG00000039115"
"1843","Tnc","Itgav","TNC_ITGAV","ENSMUSG00000028364","ENSMUSG00000027087"
"1844","Tnc","Itgb1","TNC_ITGB1","ENSMUSG00000028364","ENSMUSG00000025809"
"1845","Tnc","Nt5e","TNC_NT5E","ENSMUSG00000028364","ENSMUSG00000032420"
"1846","Tnc","Ptprb","TNC_PTPRB","ENSMUSG00000028364","ENSMUSG00000020154"
"1847","Tnc","Ptprz1","TNC_PTPRZ1","ENSMUSG00000028364","ENSMUSG00000068748"
"1848","Tnc","Sdc1","TNC_SDC1","ENSMUSG00000028364","ENSMUSG00000020592"
"1849","Tnc","Sdc4","TNC_SDC4","ENSMUSG00000028364","ENSMUSG00000017009"
