"","ligand","receptor"
"770","Bmp15","Bmpr1b,Bmpr2"
"771","Bmp15","Tgfbr1"
"772","Bmp2","Bmpr1a,Bmpr2"
"773","Bmp2","Bmpr1b,Bmpr2"
"774","Bmp2","Eng"
"775","Bmp2","Hjv"
"776","Bmp2","Rgmb"
"777","Bmp2","Smo"
"778","Bmp2","Tgfbr3"
"779","Bmp3","Bmpr1a"
"780","Bmp3","Bmpr1b"
"781","Bmp3","Bmpr2"
"782","Bmp4","Bmpr1a,Bmpr2"
"783","Bmp4","Bmpr1b,Bmpr2"
"784","Bmp4","Hjv"
"785","Bmp4","Musk"
"786","Bmp4","Rgmb"
"787","Bmp5","Bmpr1a,Bmpr2"
"788","Bmp5","Bmpr1b,Bmpr2"
"789","Bmp5","Hjv"
"790","Bmp6","Bmpr1a,Bmpr2"
"791","Bmp6","Bmpr1b,Bmpr2"
"792","Bmp6","Hjv"
"793","Bmp7","Bmpr1a,Bmpr2"
"794","Bmp7","Bmpr1b,Bmpr2"
"795","Bmp7","Eng"
"796","Bmp7","Hjv"
"797","Bmp7","Ptprk"
"798","Bmp8a","Bmpr1a,Bmpr2"
"799","Bmp8a","Bmpr1b,Bmpr2"
"800","Bmp8a","Tgfbr1"
"801","Bmp8a","Tgfbr2"
"802","Bmp8b","Bmpr1a,Bmpr2"
"803","Bmp8b","Bmpr1b,Bmpr2"
"804","Bmp8b","Tgfbr2"
"805","Bmpr1b,Bmpr2","Bmpr1a"
"806","Gdf5","Bmpr1a,Bmpr2"
"807","Gdf6","Bmpr1a,Bmpr2"
"808","Gdf7","Bmpr1a,Bmpr2"
"809","Gdf1","Bmpr1a"
"810","Gdf10","Bmpr1a"
"811","Gdf9","Bmpr1a"
"812","Gdf5","Bmpr1b,Bmpr2"
"813","Gdf6","Bmpr1b,Bmpr2"
"814","Gdf7","Bmpr1b,Bmpr2"
"815","Fst","Bmpr1b"
"816","Gdf10","Bmpr1b"
"817","Gdf9","Bmpr1b"
"818","Rgma","Bmpr1b"
